Header
rate=30
frames=180
duration=6.0
type=degree
Body
Time,Frame,RE,RS,LE,LS,NV,NH,HD,RK,RH,LK,LH,TV,TH,TO,SD,TR
0,0,40.9856,13.8917,60.512,-47.4123,6.83E-06,-20,55.6553,-30.9897,-29.2669,-76.317,25.5453,1.37E-05,-65,-29.8502,0,0
0.0333333,1,45.1945,9.66048,61.979,-47.6048,6.83E-06,-20.0073,55.6553,-36.2996,-26.582,-76.1353,25.4901,1.37E-05,-64.927,-29.8502,0,0
0.0666667,2,48.6303,5.67046,65.9556,-48.0714,6.83E-06,-20.0288,55.6553,-47.0871,-21.1881,-75.6083,25.3391,1.37E-05,-64.7125,-29.8502,0,0
0.1,3,51.4006,1.96212,71.6806,-48.5093,6.83E-06,-20.0637,55.6553,-58.6213,-15.5646,-74.7639,25.0714,1.37E-05,-64.3629,-29.8502,0,0
0.133333,4,53.6092,-1.46571,78.4031,-48.6011,6.83E-06,-20.1115,55.6553,-69.1797,-10.5197,-73.624,24.6996,1.37E-05,-63.885,-29.8502,0,0
0.166667,5,55.3351,-4.63175,85.4807,-48.0527,6.83E-06,-20.1715,55.6553,-77.984,-6.28097,-72.2076,24.2218,1.37E-05,-63.2853,-29.8502,0,0
0.2,6,56.6391,-7.57218,92.3762,-46.5066,6.83E-06,-20.243,55.6553,-84.4674,-2.77899,-70.5343,23.6384,1.37E-05,-62.5703,-29.8502,0,0
0.233333,7,57.5712,-10.3033,98.6225,-43.6606,6.83E-06,-20.3253,55.6553,-89.4909,0.509078,-68.6195,22.9336,1.37E-05,-61.7467,-29.8502,0,0
0.266667,8,58.1729,-12.82,103.802,-39.155,6.83E-06,-20.4179,55.6553,-94.1577,4.03193,-66.4787,22.1393,1.37E-05,-60.8211,-29.8502,0,0
0.3,9,58.4806,-15.145,107.556,-32.7618,6.83E-06,-20.52,55.6553,-98.2659,7.7136,-64.1262,21.2067,1.37E-05,-59.8,-29.8502,0,0
0.333333,10,58.5265,-17.2819,109.64,-24.5617,6.83E-06,-20.631,55.6553,-101.61,11.5085,-61.5757,20.1657,1.37E-05,-58.69,-29.8502,0,0
0.366667,11,58.3402,-19.2734,109.992,-15.0901,6.83E-06,-20.7502,55.6553,-103.967,15.4112,-58.8412,19.0019,1.37E-05,-57.4976,-29.8502,0,0
0.4,12,57.9498,-21.0934,108.766,-5.14688,6.83E-06,-20.877,55.6553,-105.599,19.246,-55.9358,17.7102,1.37E-05,-56.2296,-29.8502,0,0
0.433333,13,57.3816,-22.7862,106.311,4.32583,6.83E-06,-21.0108,55.6553,-106.943,22.9576,-52.8735,16.2898,1.37E-05,-54.8924,-29.8502,0,0
0.466667,14,56.6616,-24.3657,103.103,12.6429,6.83E-06,-21.1507,55.6553,-108.02,26.5507,-49.6714,14.7471,1.37E-05,-53.4927,-29.8502,0,0
0.5,15,55.8145,-25.8278,99.6623,19.4381,6.83E-06,-21.2963,55.6553,-108.853,30.004,-46.3466,13.0624,1.37E-05,-52.037,-29.8502,0,0
0.533333,16,54.8653,-27.1981,96.5107,24.4397,6.83E-06,-21.4468,55.6553,-109.47,33.2726,-42.9231,11.2492,1.37E-05,-50.5319,-29.8502,0,0
0.566667,17,53.8387,-28.4928,94.1233,27.5334,6.83E-06,-21.6016,55.6553,-109.904,36.3462,-39.4294,9.30633,1.37E-05,-48.9841,-29.8502,0,0
0.6,18,52.7597,-29.7192,92.8887,28.5899,6.83E-06,-21.76,55.6553,-110.193,39.2701,-35.9083,7.26159,1.37E-05,-47.4,-29.8502,0,0
0.633333,19,51.6526,-30.9221,92.35,28.3321,6.83E-06,-21.9214,55.6553,-110.376,42.007,-32.423,5.13357,1.37E-05,-45.7863,-29.8502,0,0
0.666667,20,50.5431,-32.0909,91.8615,27.6238,6.83E-06,-22.0851,55.6553,-110.499,44.5702,-29.0741,2.97338,1.37E-05,-44.1495,-29.8502,0,0
0.7,21,49.4557,-33.2517,91.4251,26.4925,6.83E-06,-22.2504,55.6553,-110.608,47.0257,-26.0247,0.850559,1.37E-05,-42.4963,-29.8502,0,0
0.733333,22,48.4159,-34.4211,91.0366,25.0115,6.83E-06,-22.4167,55.6553,-110.751,49.3532,-23.5436,-1.09496,1.37E-05,-40.8332,-29.8502,0,0
0.766667,23,47.4292,-35.5946,90.6815,23.2207,6.83E-06,-22.5833,55.6553,-110.956,51.5933,-21.9112,-2.70388,1.37E-05,-39.1668,-29.8502,0,0
0.8,24,46.4735,-36.7728,90.3211,21.1318,6.83E-06,-22.7496,55.6553,-110.678,53.7374,-21.2482,-3.90212,1.37E-05,-37.5037,-29.8502,0,0
0.833333,25,45.531,-37.9325,89.9187,18.7921,6.83E-06,-22.915,55.6553,-109.41,55.6969,-21.5522,-4.68184,1.37E-05,-35.8505,-29.8502,0,0
0.866667,26,44.5842,-39.0677,89.4383,16.2978,6.83E-06,-23.0786,55.6553,-107.202,57.394,-22.6538,-5.12562,1.37E-05,-34.2137,-29.8502,0,0
0.9,27,43.6169,-40.1498,88.8508,13.6552,6.83E-06,-23.24,55.6553,-104.11,58.7761,-24.305,-5.35243,1.37E-05,-32.6,-29.8502,0,0
0.933333,28,42.6147,-41.168,88.1286,10.9346,6.83E-06,-23.3984,55.6553,-100.208,59.8015,-26.2802,-5.48405,1.37E-05,-31.0159,-29.8502,0,0
0.966667,29,41.5641,-42.1334,87.2515,8.18999,6.83E-06,-23.5532,55.6553,-95.5736,60.4907,-28.4147,-5.59967,1.37E-05,-29.468,-29.8502,0,0
1,30,40.4546,-43.0057,86.2081,5.47313,6.83E-06,-23.7037,55.6553,-90.294,60.8269,-30.5972,-5.73196,1.37E-05,-27.9629,-29.8502,0,0
1.03333,31,39.2773,-43.814,84.9921,2.83162,6.83E-06,-23.8493,55.6553,-84.4594,60.8096,-32.7555,-5.92924,1.37E-05,-26.5072,-29.8502,0,0
1.06667,32,38.0256,-44.5233,83.6064,0.291632,6.83E-06,-23.9893,55.6553,-78.1652,60.4385,-34.8412,-6.18126,1.37E-05,-25.1075,-29.8502,0,0
1.1,33,36.6963,-45.1395,82.0626,-2.08455,6.83E-06,-24.123,55.6553,-71.5214,59.7145,-36.8225,-6.5163,1.37E-05,-23.7703,-29.8502,0,0
1.13333,34,35.2888,-45.6596,80.3797,-4.27475,6.83E-06,-24.2498,55.6553,-64.66,58.6599,-38.6757,-6.90738,1.37E-05,-22.5023,-29.8502,0,0
1.16667,35,33.8063,-46.0826,78.5845,-6.30638,6.83E-06,-24.369,55.6553,-57.7632,57.2896,-40.3842,-7.37577,1.37E-05,-21.31,-29.8502,0,0
1.2,36,32.2556,-46.4089,76.714,-8.12095,6.83E-06,-24.48,55.6553,-51.1052,55.6994,-41.9372,-7.89021,1.37E-05,-20.2,-29.8502,0,0
1.23333,37,30.65,-46.6361,74.812,-9.76495,6.83E-06,-24.5821,55.6553,-45.1304,54.0541,-43.3237,-8.44141,1.37E-05,-19.1788,-29.8502,0,0
1.26667,38,29.0081,-46.7819,72.9301,-11.2393,6.83E-06,-24.6747,55.6553,-40.5511,52.6844,-44.5363,-9.03099,1.37E-05,-18.2532,-29.8502,0,0
1.3,39,27.3581,-46.8396,71.1293,-12.5664,6.83E-06,-24.7571,55.6553,-38.3496,52.0022,-45.5678,-9.64699,1.37E-05,-17.4296,-29.8502,0,0
1.33333,40,25.7385,-46.8199,69.476,-13.7872,6.83E-06,-24.8285,55.6553,-39.3758,52.4086,-46.4106,-10.2619,1.37E-05,-16.7146,-29.8502,0,0
1.36667,41,24.2031,-46.7484,68.0461,-14.9115,6.83E-06,-24.8885,55.6553,-42.0515,53.2943,-47.0553,-10.871,1.37E-05,-16.1149,-29.8502,0,0
1.4,42,22.8239,-46.6353,66.9178,-15.9768,6.83E-06,-24.9363,55.6553,-44.5569,54.004,-47.494,-11.4617,1.37E-05,-15.637,-29.8502,0,0
1.43333,43,21.6932,-46.5116,66.171,-17.0437,6.83E-06,-24.9713,55.6553,-46.8532,54.5292,-47.7122,-12.0256,1.37E-05,-15.2875,-29.8502,0,0
1.46667,44,20.9238,-46.4111,65.8843,-18.1354,6.83E-06,-24.9927,55.6553,-48.901,54.8905,-47.6953,-12.5538,1.37E-05,-15.0729,-29.8502,0,0
1.5,45,20.6401,-46.3679,66.1277,-19.2799,6.83E-06,-25,55.6553,-50.6595,55.0526,-47.4208,-13.0339,1.37E-05,-15,-29.8502,0,0
1.53333,46,26.5855,-48.2657,66.52,-20.3903,6.83E-06,-24.9927,55.6553,-52.0972,55.0449,-47.5064,-13.2511,1.37E-05,-15.0729,-29.8502,0,0
1.56667,47,38.9489,-51.5485,66.6523,-21.3831,6.83E-06,-24.9713,55.6553,-53.2361,54.8536,-48.5138,-12.98,1.37E-05,-15.2875,-29.8502,0,0
1.6,48,52.6932,-54.1296,66.548,-22.2329,6.83E-06,-24.9363,55.6553,-54.1012,54.4962,-50.2977,-12.3085,1.37E-05,-15.637,-29.8502,0,0
1.63333,49,66.0612,-55.4374,66.225,-22.9818,6.83E-06,-24.8885,55.6553,-54.7103,53.9691,-52.69,-11.329,1.37E-05,-16.1149,-29.8502,0,0
1.66667,50,78.2607,-55.2468,65.7029,-23.6253,6.83E-06,-24.8285,55.6553,-55.0763,53.3005,-55.531,-10.1206,1.37E-05,-16.7146,-29.8502,0,0
1.7,51,88.7121,-53.2521,64.9979,-24.1705,6.83E-06,-24.7571,55.6553,-55.2078,52.4626,-58.6797,-8.79135,1.37E-05,-17.4296,-29.8502,0,0
1.73333,52,96.8791,-48.9696,64.1281,-24.6235,6.83E-06,-24.6747,55.6553,-55.1099,51.4631,-62.0198,-7.38044,1.37E-05,-18.2532,-29.8502,0,0
1.76667,53,102.32,-42.0316,63.1093,-25.003,6.83E-06,-24.5821,55.6553,-54.7895,50.289,-65.4598,-5.93779,1.37E-05,-19.1788,-29.8502,0,0
1.8,54,104.873,-32.6564,61.9583,-25.2817,6.83E-06,-24.48,55.6553,-54.2493,48.9555,-68.9247,-4.54159,1.37E-05,-20.2,-29.8502,0,0
1.83333,55,104.841,-21.9739,60.6931,-25.502,6.83E-06,-24.369,55.6553,-53.4946,47.4489,-72.3568,-3.19139,1.37E-05,-21.31,-29.8502,0,0
1.86667,56,103.004,-11.7038,59.3317,-25.6608,6.83E-06,-24.2498,55.6553,-52.5313,45.7758,-75.7103,-1.92247,1.37E-05,-22.5023,-29.8502,0,0
1.9,57,100.423,-3.37585,57.8926,-25.7787,6.83E-06,-24.123,55.6553,-51.3651,43.9152,-78.9447,-0.754713,1.37E-05,-23.7703,-29.8502,0,0
1.93333,58,97.7717,3.14825,56.3975,-25.8338,6.83E-06,-23.9893,55.6553,-50.0039,41.8628,-82.0282,0.31269,1.37E-05,-25.1075,-29.8502,0,0
1.96667,59,95.0879,8.86932,54.8679,-25.8709,6.83E-06,-23.8493,55.6553,-48.4585,39.6531,-84.9331,1.23165,1.37E-05,-26.5072,-29.8502,0,0
2,60,92.509,13.7806,53.3287,-25.8929,6.83E-06,-23.7037,55.6553,-46.7412,37.2465,-87.6349,2.05472,1.37E-05,-27.9629,-29.8502,0,0
2.03333,61,90.1359,17.9333,51.8067,-25.925,6.83E-06,-23.5532,55.6553,-44.8688,34.68,-90.1094,2.72474,1.37E-05,-29.468,-29.8502,0,0
2.06667,62,88.0397,21.336,50.3314,-25.9541,6.83E-06,-23.3984,55.6553,-42.8635,31.9389,-92.3375,3.29024,1.37E-05,-31.0159,-29.8502,0,0
2.1,63,86.2664,24.0871,48.9358,-26.0393,6.83E-06,-23.24,55.6553,-40.7516,29.0424,-94.2971,3.75914,1.37E-05,-32.6,-29.8502,0,0
2.13333,64,84.8413,26.2281,47.6537,-26.1615,6.83E-06,-23.0786,55.6553,-38.5707,26.006,-95.9682,4.09436,1.37E-05,-34.2137,-29.8502,0,0
2.16667,65,83.7709,27.8124,46.5245,-26.373,6.83E-06,-22.915,55.6553,-36.368,22.8479,-97.3288,4.35322,1.37E-05,-35.8505,-29.8502,0,0
